IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10
IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: f4:cf:a2:5f:54:55, Destination MAC: ff:ff:ff:ff:ff:ff, Source IP: 192.168.0.91, Destination IP: 255.255.255.255, Source Port: 49154, Destination Port: 6667

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 54.207.255.179, Source Port: 40790, Destination Port: 443, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 54.207.255.179, Destination IP: 192.168.0.105, Source Port: 443, Destination Port: 40790, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 54.207.255.179, Destination IP: 192.168.0.105, Source Port: 443, Destination Port: 40790, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 54.207.255.179, Source Port: 40790, Destination Port: 443, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 38:e7:c0:92:ee:1a, Source IP: 192.168.0.105, Destination IP: 192.168.0.107, Source Port: 42768, Destination Port: 8008, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

